geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (427370.6916666706 6762019.712308886 0, 427291.6866061056 6762089.072460602 0, 427261.4370960063 6762086.684946243 0, 427113.052699295 6761924.504774052 0, 427051.8923234922 6761866.712970563 0)",104117597.0,,2024-05-04 07:32:26+00:00,2024-05-04 07:34:47+00:00,['BRUSHING'],2024-05-04 07:32:10+00:00,2024-05-04 07:33:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428626.7024789747 6763987.059356386 0, 428372.6540455195 6763571.041843269 0, 428292.528647028 6763487.988023129 0, 428192.3227805969 6763415.370210067 0)",105196143.0,105196071.0,2024-05-15 17:03:47+00:00,2024-05-15 17:06:09+00:00,['BRUSHING'],2024-05-15 17:03:46+00:00,2024-05-15 17:03:50+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428192.3227805969 6763415.370210067 0, 428187.6826984634 6763402.651608666 0)",105196146.0,105196143.0,2024-05-15 17:03:50+00:00,2024-05-15 17:06:09+00:00,['BRUSHING'],2024-05-15 17:03:50+00:00,2024-05-15 17:04:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (428187.6826984634 6763402.651608666 0, 428194.7329068586 6763390.141692271 0, 428222.0093315389 6763382.569803548 0, 428381.9627463318 6763378.552545775 0, 428646.6012038458 6763334.105960647 0, 428822.584492132 6763333.462482525 0, 428906.3557847401 6763345.261408911 0)",105196198.0,105196146.0,2024-05-15 17:04:52+00:00,2024-05-15 17:07:09+00:00,['BRUSHING'],2024-05-15 17:04:51+00:00,2024-05-15 17:05:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427386.7915334711 6760720.620361065 0, 427410.9988821053 6760829.311100852 0, 427422.7917881947 6760908.17411259 0, 427430.0413872616 6761000.499907121 0, 427431.4867201986 6761092.276026776 0, 427448.4773994945 6761147.4128187 0, 427506.2006041651 6761275.1388264 0, 427582.0693009674 6761634.126005217 0)",105460344.0,105460324.0,2024-05-19 21:00:07+00:00,2024-05-19 21:02:22+00:00,['BRUSHING'],2024-05-19 21:00:05+00:00,2024-05-19 21:01:09+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427407.0342554334 6760807.554990124 0, 427426.8388852487 6760936.613430926 0, 427437.6302638263 6761098.835168698 0, 427464.3044259637 6761182.741676213 0, 427512.9952024413 6761292.380582901 0, 427586.9133018404 6761653.970271875 0)",105460345.0,105460327.0,2024-05-19 21:00:14+00:00,2024-05-19 21:02:22+00:00,['BRUSHING'],2024-05-19 21:00:14+00:00,2024-05-19 21:01:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (427582.0693009674 6761634.126005217 0, 427584.0506237723 6761680.768271324 0, 427593.7021806482 6761694.83218704 0, 427599.5602481792 6761737.830004005 0, 427625.8150364709 6761828.096777447 0, 427639.7219904587 6761957.83374557 0, 427622.8959810319 6762069.480571187 0, 427535.1258784576 6762390.588835534 0, 427540.9071441189 6762411.305194311 0)",105460366.0,105460344.0,2024-05-19 21:01:11+00:00,2024-05-19 21:03:23+00:00,['BRUSHING'],2024-05-19 21:01:09+00:00,2024-05-19 21:02:35+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427586.9133018404 6761653.970271875 0, 427624.5643855886 6761843.720366031 0, 427637.3887228712 6761944.288792236 0, 427637.8703462177 6761978.483261921 0, 427622.5364386684 6762075.727136551 0, 427533.534867697 6762402.765585493 0, 427539.139620579 6762420.143106241 0, 427562.6244997915 6762446.513946894 0)",105460368.0,105460345.0,2024-05-19 21:01:17+00:00,2024-05-19 21:03:23+00:00,['BRUSHING'],2024-05-19 21:01:17+00:00,2024-05-19 21:02:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427540.9071441189 6762411.305194311 0, 427699.1024141411 6762592.131218909 0, 427754.6174790565 6762684.698693329 0, 427769.041687472 6762760.500861475 0, 427765.9051426323 6762840.22631156 0, 427770.4863453554 6762881.80201903 0, 427829.1607559141 6763084.606662109 0)",105460395.0,105460366.0,2024-05-19 21:02:37+00:00,2024-05-19 21:05:23+00:00,['BRUSHING'],2024-05-19 21:02:35+00:00,2024-05-19 21:03:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (427562.6244997915 6762446.513946894 0, 427706.4829990738 6762601.116642635 0, 427736.4034501148 6762648.637492086 0, 427752.6982692168 6762691.422705409 0, 427760.4657096665 6762727.362700814 0, 427760.9810642533 6762826.956935287 0, 427767.5451676877 6762880.859245657 0, 427845.9631831616 6763136.517912952 0, 427854.7514585537 6763150.934262902 0)",105460399.0,105460368.0,2024-05-19 21:02:40+00:00,2024-05-19 21:05:23+00:00,['BRUSHING'],2024-05-19 21:02:40+00:00,2024-05-19 21:03:41+00:00,,state-roads,Harja/Väylävirasto,True,True,False
